long,'lat','geo'
-76.164962,-0.635896,1
-64.050944,-3.798778,1
-64.867278,-3.034,1
-76.459129,-0.471806,1
-76.71627,-1.099046,1
-76.39957,-0.671154,1
-64.782043,-17.107816,1
-76.440486,-0.523212,1
-73.591833,-4.69551,1
-76.730823,-1.105182,1
-76.730703,-1.104756,1
-76.730939,-1.104657,1
-70.100612,-12.569262,1
-76.149907,-0.637991,1
-53.858858,-19.013617,1
-53.859556,-19.025667,1
-77.86595,-0.95302,1
-58.710937,4.598327,1
-67.7055,-15.06713,1
-59.976083,-2.932278,1
-60.936655,-2.60631,1
-76.397395,-0.675748,1
-76.280479,1.164814,1
-66.857101,-4.825106,1
-76.276703,1.165157,1
-61.79773,10.090952,1
-76.459769,-0.470119,1
-70.390278,-3.774167,1
-72.236481,-3.614848,1
-70.1,-12.566667,1
-76.62029,-0.400378,1
-71.403773,-12.894971,1
-49.130087,-5.373762,1
-61.19477,10.633341,1
-69.037562,-12.610466,1
-76.85917,-2.540556,1
-75.384903,-2.923729,1
-61.09,10.13,1
-77.592371,-1.414763,1
-69.296,-12.8385,1
-56.7637,-1.448428,1
-53.856944,-19.02,1
-53.858611,-19.013056,1
-64.786917,-0.399306,1
-64.786806,-0.399328,1
-64.786917,-0.399328,1
-77.283333,-0.5,1
-76.45912,-0.471175,1
-75.806908,-1.100655,1
-64.907111,-0.592361,1
-58.5085,4.28784,1
-58.9086,4.2516,1
-63.015889,-5.037583,1
-58.9216,4.41379,1
-61.289581,10.692494,1
-69.293389,-12.836641,1
-55.906204,-6.261595,1
-51.958,-3.584,1
-52.083588,-12.858551,1
-52.018983,-12.780675,1
-55.931335,-9.597507,1
-76.374367,-0.49558,1
-73.178628,-3.529042,1
-58.798333,4.331111,1
-56.423056,-15.309167,1
-76.17065,0.2842,1
-78.215366,-2.074558,1
-76.56165,-0.732212,1
-76.459985,-0.46988,1
-62,-16.36,1
-76.102295,-0.427548,1
-73.230501,-3.908592,1
-77.868056,-1.342222,1
-75.6197,-1.7839,1
-69.489556,-1.028139,1
-63.4475,0.866389,1
-61.1125,-4.916111,1
-67.90198,-5.75952,1
-76.434148,-0.51221,1
-54.589,4.82,1
-78.407248,-2.214992,1
-59.8797,5.0022,1
-59.89,5,1
-77.334806,-0.898308,1
-76.280737,0.202898,1
-76.630614,0.204341,1
-76.727122,0.004681,1
-66.985,3.887,1
-67.081,3.959,1
-58.68333,5.15,1
-58.68333,4.66667,1
-76.41,-0.67,1
-73.817217,-10.103617,1
-73.817333,-10.103667,1
-73.816667,-10.1,1
-71.34778,-12.96,1
-74.923617,-9.92805,1
-40.097778,-19.196944,1
-59.0453,5.2186,1
-53.466,-18.263,1
-61.298272,10.717817,1
-77.932667,-1.641167,1
-59.411389,-3.629444,1
-59.846944,-3.855833,1
-58.2372,5.085,1
-61.025,-11.516389,1
-72.6992,-11.7856,1
-61.992222,-12.022778,1
-61.458056,-11.996667,1
-62.04,-11.938611,1
-58.8269,4.3375,1
-58.7144,4.6331,1
-58.8494,4.42,1
-58.8506,4.7311,1
-58.5094,4.285,1
-59.0244,4.7547,1
-58.7475,4.5833,1
-59.78666,4.69722,1
-68.7,-12.517,1
-71.724379,-12.041982,1
-68.777208,-12.510892,1
-77.832667,-1.7845,1
-77.848167,-1.789333,1
-64.255,-12.420278,1
-57.89,5.6628,1
-57.8583,5.6819,1
-71.3,-11.87,1
-69.607,-13.142,1
-69.6067,-13.1417,1
-66.7333,-10.7667,1
-58.6333,7.4833,1
-68.504167,-10.651944,1
-69.083333,-12.633333,1
-77.441944,-0.746667,1
-77.6,-1.05,1
-68.77,-13.58,1
-76.93,-1.1911,1
-77,-1.95,1
-47.23,-24.57,1
-76.95,-1.12,1
-69.28,-12.83,1
-78.17,-4.47,1
-61.57,-11.15,1
-77.67,-1.23,1
-77.9333,-1.51667,1
-78.1,-2.31667,1
-77.9833,-1.46667,1
-42.98,-22.43,1
-62.57,-10.67,1
-77.6667,-1.83333,1
-77.2167,-1.91667,1
-71.2583,-12.675,1
-77.1667,-1.85,1
-43.8833,-22.3833,1
-76.7833,-1.8667,1
-77.7,-1.36667,1
-77.8833,-1.4667,1
-77.4167,-0.5333,1
-76.65,-2.38333,1
-63.2167,-10.2333,1
-42.9833,-22.4333,1
-78.37,-4.25,1
-77.8833,-1.4,1
-77.25,-0.766667,1
-41.4833,-22.05,1
-71.2,-12.9167,1
-59.95,-15,1
-56.6708,-1.1886,1
-78.17,-4.5,1
-74.75,-4.92,1
-59.72,-2.42,1
-40.58,-19.83,1
-47.6333,-24.3167,1
-77.7,-2.15,1
-77.3333,-1.5,1
-68.8167,-12.4333,1
-77.4167,-0.8,1
-77.42,-1.23,1
-40.0667,-19.4167,1
-76.7833,-1.86667,1
-78.18,-4.47,1
-70.9,-12.25,1
-58.4667,-15.85,1
-55.9833,-4.28333,1
-78.2,-4.67,1
-77.95,-1.85,1
-51.4201,-16.8652,1
-77.75,-0.983333,1
-63.0333,-8.15,1
-49.2333,-26.4333,1
-77.9667,-1.4,1
-77.6333,-1.3,1
-66,-14.5,1
-78.1167,-1.73333,1
-43.35,-22.9167,1
-78.18,-4.55,1
-78.28,-4.43,1
-65.77,3.65,1
-76.9667,-0.45,1
-71.5,-11.85,1
-77.4833,-1.73333,1
-78.08,-4.37,1
-78.1667,-2.46667,1
-76.6333,-0.4167,1
-76.6167,-0.4,1
-59.7,4.72,1
-78.3167,-1.31667,1
-47.4511,-6.56056,1
-59.1306,-3.57972,1
-49.8783,-6.49694,1
-55.8661,-1.76556,1
-52.01,-2.88,1
-49.1178,-5.36861,1
-59.620556,-15.004722,1
-58.1764,-15.6214,1
-55.4592,-10.806,1
-59.7736,-2.7239,1
-57.6248,-11.0586,1
-57.0468,-9.3764,1
-61.8506,-12.1281,1
-56.5281,-15.8315,1
-55.8894,-15.48,1
-61.851,-12.1285,1
-58.4572,-15.2558,1
-58.8619,-15.3173,1
-56.9485,-16.7845,1
-58.4395,-15.0853,1
-56.7233,-18.731,1
-55.5396,-15.1071,1
-58.58,-15.1,1
-60.2631,-9.8603,1
-58.7357,-15.1173,1
-54.9728,-9.6297,1
-46.4187,-23.8864,1
-59.9321,-2.9738,1
-47.8784,-24.7225,1
-58.1782,-15.6261,1
