long,'lat','typho'
-68.659944,5.840861,1
-48.189806,-7.104725,1
-65.968094,-10.83339,1
-69.853611,6.391667,1
-55.498411,-20.455139,1
-69.84387,6.39183,1
-69.85439,6.394,1
-73.406174,7.038645,1
-48.035439,-21.494752,1
-61.23144,10.58664,1
-85.331933,10.145017,1
-88.257767,18.594167,1
-77.064222,8.245417,1
-66.099973,-11.029241,1
-46.738906,-12.928008,1
-52.89213,-3.443537,1
-58.798479,3.884973,1
-56.515,-20.996,1
-48.454499,-7.223636,1
-54.876669,-20.759263,1
-73.582944,4.074437,1
-69.913333,-4.229444,1
-48.445389,-22.808742,1
-59.512329,2.826305,1
-48.29449,-10.297413,1
-45.997145,-16.979128,1
-71.564839,6.006597,1
-71.484922,5.942536,1
-71.564722,6.006667,1
-71.776861,6.282028,1
-71.776944,6.281944,1
-73.3835,3.79224,1
-88.4456,18.678961,1
-88.52363,18.768911,1
-88.427297,18.746622,1
-64.852836,-23.755205,1
-91.450028,17.456889,1
-74.367694,7.115639,1
-88.503286,18.786597,1
-88.491275,18.764547,1
-88.504922,18.778031,1
-88.490733,18.764244,1
-49.217128,-19.91345,1
-71.598728,6.218925,1
-71.598611,6.218889,1
-70.686111,5.6225,1
-70.706944,5.620833,1
-70.686667,5.62,1
-75.164194,9.9165,1
-71.822056,6.357083,1
-71.598831,6.219481,1
-71.598889,6.219444,1
-89.17906,21.236908,1
-74.8002,5.16,1
-74.800189,5.16,1
-59.607568,-26.808521,1
-88.260833,18.568889,1
-63.575042,-21.791811,1
-72.499972,5.381667,1
-59.836238,-3.054779,1
-70.456944,-3.740278,1
-70.360556,-3.774167,1
-66.09848,-13.762331,1
-50.990057,-14.610865,1
-88.490989,18.764517,1
-88.479819,18.758564,1
-88.526158,18.758525,1
-88.517897,18.760467,1
-88.384839,18.703375,1
-88.496964,18.765061,1
-75.584263,9.527156,1
-88.260528,18.571167,1
-88.505653,18.767792,1
-88.485508,18.761564,1
-88.517711,18.760553,1
-71.133611,6.547222,1
-69.136274,4.541219,1
-91.398333,17.351389,1
-91.45,17.456667,1
