long,'lat','nasicus'
-57.6,-25.47,1
-57.622222,-19.240833,1
-57.65,-25.35,1
-57.65,-19.01667,1
-57.6533,-19.0092,1
-57.65330124,-19.00919914,1
-57.67,-25.27,1
-57.67888889,-16.07083333,1
-57.678889,-16.070833,1
-57.67890167,-16.07060051,1
-57.7016,-21.6375,1
-57.7051,-21.638,1
-57.716908,-21.692938,1
-57.7173,-21.6692,1
-57.7181,-21.6691,1
-57.7181,-21.6811,1
-57.7182,-21.6799,1
-57.7192,-21.6868,1
-57.7206,-21.7092,1
-57.720833,-21.701944,1
-57.7333,-22.6833,1
-57.7367,-21.6913,1
-57.7373,-21.6223,1
-57.738,-21.6928,1
-57.7385,-21.6925,1
-57.753839,-25.193699,1
-57.824,-21.649,1
-57.8369,-16.5165,1
-57.8821,-21.6986,1
-57.88249969,-21.69890022,1
-57.933889,-31.288056,1
-58.03,-24.5,1
-58.0359,-24.5594,1
-58.038108,-32.5289,1
-58.038269,-32.529008,1
-58.038586,-32.528862,1
-58.086461,-28.031042,1
-58.092589,-32.318622,1
-58.100848,-31.418365,1
-58.20718,-26.334566,1
-58.259093,-31.864515,1
-58.267363,-31.862975,1
-58.282852,-34.892524,1
-58.2963,-26.86771,1
-58.321577,-31.816271,1
-58.394732,-34.943288,1
-58.41667,-3.13333,1
-58.4438,-23.4425,1
-58.443832,-23.442503,1
-58.4593,-34.547685,1
-58.4667,-23.8667,1
-58.519725,-33.014883,1
-58.519725,-33.01488333,1
-58.645837,-26.475345,1
-58.658338,-33.714637,1
-58.684305,-27.375092,1
-58.688091,-34.371729,1
-58.69039722,-34.58039722,1
-58.734897,-26.271555,1
-58.764272,-32.903057,1
-58.771975,-26.267671,1
-58.781295,-34.308863,1
-58.8598,-23.4304,1
-58.868804,-34.607556,1
-58.913813,-34.242394,1
-58.914164,-34.241871,1
-58.915558,-34.412524,1
-58.915998,-34.413168,1
-58.916156,-34.412061,1
-58.9167,-34.412862,1
-58.944167,-26.181389,1
-59.009285,-26.897425,1
-59.026922,-31.867701,1
-59.034131,-34.399435,1
-59.07,-23.36,1
-59.166356,-33.769511,1
-59.310518,-33.13288,1
-59.441719,-34.119693,1
-59.465,-18.2133,1
-59.469402,-22.677802,1
-59.537659,-22.84454,1
-59.596997,-26.810796,1
-59.618393,-26.79322,1
-59.67416,-22.530035,1
-59.72706,-33.656871,1
-59.88,-22.103,1
-59.95,-23.71667,1
-60.03,-22.35,1
-60.084322,-31.099633,1
-60.08432222,-31.09963333,1
-60.2631,-9.8603,1
-60.562175,-31.573598,1
-60.659495,-26.687106,1
-60.72595,-22.407717,1
-60.749167,-33.017655,1
-60.760809,-31.661658,1
-60.764378,-31.668129,1
-60.794168,-33.441655,1
-60.878624,-31.729464,1
-60.87887,-31.729393,1
-60.914833,-31.374267,1
-60.933412,-31.434368,1
-60.942201,-31.441826,1
-61.08,-14.91,1
-61.107172,-31.386315,1
-61.157373,-32.854986,1
-61.185938,-30.186655,1
-61.289023,-31.319349,1
-62,-16.36,1
-62.100667,-33.615647,1
-62.310619,-21.852369,1
-62.35,-22.45,1
-62.616667,-14.666667,1
-62.7192,-17.659348,1
-62.997528,-35.010198,1
-62.997871,-35.010338,1
-62.997871,-35.009776,1
-62.998043,-35.011639,1
-62.998043,-35.010364,1
-62.998043,-35.010092,1
-62.998386,-35.010479,1
-62.99873,-35.011238,1
-62.99873,-35.010464,1
-62.99873,-35.011308,1
-62.999073,-35.009058,1
-63.000446,-35.011027,1
-63.248795,-23.931081,1
-63.29,-17.52,1
-63.4824,-24.445,1
-63.7634,-24.7009,1
-63.8047,-24.7386,1
-64.1,-23.2167,1
-64.224602,-31.354532,1
-64.7833,-28.3667,1
-64.793466,-28.370539,1
-64.85777,-23.672925,1
-65.2657,-26.8607,1
-65.485455,-24.65096,1
-65.548578,-24.885776,1
-65.574794,-24.968321,1
-65.81,-12.77,1
-57.0217,-19.5752,1
-56.1548,-19.5724,1
-54.7548,-20.5377,1
-57.7169,-21.6929,1
-57.5564,-19.0184,1
-53.6571,-22.9218,1
-53.7471,-22.9008,1
