long,'lat','latrans'
-49.88890076,-29.55139923,1
-50.208787,-29.486488,1
-50.1738889,-29.4819444,1
-50.173889,-29.481944,1
-53.46889877,-29.47170067,1
-51.96139908,-29.46689987,1
-50.2166667,-29.45,1
-50.58333333,-29.44833333,1
-50.58359909,-29.44809914,1
-50.3769444,-29.4213889,1
-50.899422,-29.408117,1
-50.29645,-29.40183,1
-49.8836111,-29.3977778,1
-49.8958333,-29.3880556,1
-51.5659785,-29.3827123,1
-51.11439896,-29.37639999,1
-49.84970093,-29.36940002,1
-49.9338889,-29.3652778,1
-49.72689819,-29.33530045,1
-49.61669922,-29.11389923,1
-51.8463889,-28.9847222,1
-51.8368988,-28.98360062,1
-50.0658333,-28.7477778,1
-49.29972222,-28.71333333,1
-49.652779,-28.71159,1
-53.716111,-28.678056,1
-49.36970139,-28.67749977,1
-50.41669846,-28.6678009,1
-56.00439835,-28.66060066,1
-53.593699,-28.650535,1
-57.168518,-28.539007,1
-57.185943,-28.537681,1
-57.172717,-28.53494,1
-50.93389893,-28.5121994,1
-48.78079987,-28.48250008,1
-49.00690079,-28.4666996,1
-51.1841667,-28.3263889,1
-54.26309967,-28.29920006,1
-52.40670013,-28.26280022,1
-51.186756,-28.059667,1
-52.67720032,-28.05920029,1
-51.193772,-28.052256,1
-51.343932,-27.914263,1
-55.13750076,-27.90559959,1
-50.76079941,-27.89920044,1
-48.5666667,-27.8166667,1
-50.3260994,-27.81609917,1
-54.4817009,-27.75639915,1
-48.82360077,-27.69389915,1
-51.13000107,-27.68919945,1
-48.6678009,-27.64529991,1
-51.33639908,-27.63439941,1
-51.5202644,-27.6192208,1
-51.02249908,-27.61109924,1
-48.54919815,-27.59670067,1
-48.493072,-27.488762,1
-48.426182,-27.425852,1
-51.22499847,-27.40169907,1
-58.683661,-27.375385,1
-58.693732,-27.374734,1
-53.75830078,-27.37109947,1
-53.39440155,-27.35919952,1
-53.05860138,-27.32889938,1
-52.32310104,-27.29059982,1
-50.58440018,-27.28280067,1
