long,'lat','bicolor'
-48.8344,-25.4769,1
-54.7167,-25.4935,1
-54.6167,-25.5167,1
-49.1956,-25.5306,1
-54.577601,-25.611036,1
-57.15,-25.6333,1
-54.5833,-25.65,1
-49.3122,-25.6525,1
-49.3081,-25.6575,1
-54.43333,-25.68333,1
-48.5428,-25.8175,1
-48.5368,-25.8325,1
-53.975704,-25.85756,1
-48.5747,-25.8828,1
-57.05,-26.02,1
-58.944167,-26.181389,1
-49.2961,-26.1936,1
-51.07830048,-26.23810005,1
-49.37833333,-26.25055556,1
-49.378333,-26.250556,1
-57.32,-26.4,1
-51.3888,-26.4063,1
-54.631882,-26.411541,1
-51.3499,-26.4149,1
-51.3156,-26.4275,1
-51.6656,-26.4958,1
-51.6755,-26.5223,1
-51.6615,-26.5556,1
-59.633333,-26.583333,1
-51.01499939,-26.77529907,1
-51.904,-26.783,1
-59.618146,-26.793046,1
-59.618393,-26.79322,1
-59.596997,-26.810796,1
-59.13501,-26.825586,1
-51.7935,-26.8675,1
-58.2963,-26.86771,1
-51.7918,-26.8702,1
-52.9073,-26.8798,1
-52.9213,-26.8866,1
-50.69530106,-26.92889977,1
-55.75,-26.95,1
-48.5079844,-27.1401144,1
-51.899938,-27.147817,1
-48.55310059,-27.15780067,1
-55.725,-27.1839,1
-49.799383,-27.195652,1
-56.17,-27.23,1
-52.02780151,-27.23419952,1
-53.8608017,-27.26469994,1
-50.58440018,-27.28280067,1
-52.32310104,-27.29059982,1
-58.619385,-27.294632,1
-58.563151,-27.31425,1
-53.39440155,-27.35919952,1
-52.77140045,-27.36170006,1
-53.75830078,-27.37109947,1
-57.2667,-27.4,1
-51.22499847,-27.40169907,1
-58.778968,-27.452486,1
-48.5492,-27.5967,1
-48.54919815,-27.59670067,1
-51.5202644,-27.6192208,1
-51.520264,-27.619221,1
-51.33639908,-27.63439941,1
-48.478101,-27.655625,1
-51.13000107,-27.68919945,1
-50.3260994,-27.81609917,1
-50.325833,-27.816111,1
-50.32583333,-27.81611111,1
-58.800658,-27.950795,1
-48.6583,-28.0454,1
-51.188611,-28.0575,1
-51.1886111,-28.0575,1
-54.73809814,-28.14859962,1
-55.26720047,-28.18250084,1
-55.63890076,-28.18359947,1
-48.670278,-28.24,1
