long,'lat','punc'
-73.178994,-3.528672,1
-73.179117,-3.528769,1
-64.782043,-17.107816,1
-73.181949,-3.528109,1
-48.189806,-7.104725,1
-74.172133,-2.294842,1
-54.75141,-20.538759,1
-73.77415,2.24532,1
-77.056607,0.088786,1
-72.212222,5.801389,1
-72.033056,5.823333,1
-72.201111,5.761111,1
-71.771111,6.280278,1
-73.25,-4.33,1
-77.8616,-0.95257,1
-61.192,10.602,1
-71.426754,-12.976289,1
-76.470543,-0.473831,1
-71.880833,5.758611,1
-72.108333,5.758611,1
-61.374572,10.443699,1
-61.374782,10.443773,1
-75.879393,1.414775,1
-72.750495,5.010685,1
-57.703268,-3.404475,1
-58.130298,-25.171056,1
-73.133583,-3.528156,1
-70.455,-3.795556,1
-70.426111,-3.804722,1
-54.679944,-20.442319,1
-54.590319,-20.495908,1
-54.589425,-20.394353,1
-54.641336,-20.506544,1
-72.499972,5.381667,1
-72.500833,5.379444,1
-56.12564,2.02682,1
-76.62029,-0.400378,1
-66.09848,-13.762331,1
-55.967172,-1.846451,1
-72.76208,5.01978,1
-54.732639,-22.328556,1
-61.194792,10.633336,1
-72.05939,4.21358,1
-73.657221,-4.636163,1
-71.154722,6.567778,1
-56.876243,-16.757403,1
-73.460083,-4.110848,1
-76.85917,-2.540556,1
-61.275558,10.524649,1
-72.198006,-3.585503,1
-73.433638,-4.311704,1
-70.986389,6.806111,1
-71.075556,6.811944,1
-74.5516,5.06727,1
-61.13,10.65,1
-56.516944,-20.981389,1
-72.717222,4.991944,1
-65.928462,-10.988158,1
-77.283333,-0.5,1
-72.689214,2.567768,1
-77.293311,-0.474456,1
-73.266876,4.857735,1
-72.701944,4.991667,1
-67.922748,-14.43121,1
-69.293389,-12.836641,1
-46.741667,-1.043611,1
-72.4575,5.451667,1
-61.197022,10.591258,1
-61.204711,10.593074,1
-61.200693,10.592272,1
-72.236481,-3.614848,1
-54.618333,-20.502222,1
-72.65815,-7.6751,1
-76.459985,-0.46988,1
-58.132222,-13.635278,1
-58.102222,-13.608056,1
-57.720833,-21.701944,1
-72.54706,5.17282,1
-71.369609,-12.871404,1
-64.848679,-3.063221,1
-76.459098,-0.471286,1
-73.158247,-4.35597,1
-52.99125,-19.070139,1
-53.192889,-19.024417,1
-76.727122,0.004681,1
-76.630614,0.204341,1
-43.424754,-3.243133,1
-72.889994,4.575193,1
-57.67888889,-16.07083333,1
-56.09666667,-15.59611111,1
-45.24219894,-7.558330059,1
-56.47669983,-9.664719582,1
-46.7416667,-1.0436111,1
-58.1022222,-13.6080556,1
-58.1322222,-13.6352778,1
-64.22720337,-12.44499969,1
-54.614886,-20.500186,1
-55.78720093,-20.47109985,1
-54.64640045,-20.44280052,1
-57.65330124,-19.00919914,1
-57.60169983,-19.00469971,1
-54.78939819,-22.07889938,1
-54.38389969,-21.46579933,1
-54.04389954,-19.53140068,1
-57.67890167,-16.07060051,1
-56.09669876,-15.59609985,1
-53.8591,-19.0142,1
-57.8163,-21.6065,1
-57.7209,-21.71,1
-57.5106,-19.0222,1
-53.413,-18.1571,1
