area	type	diversity	ext	mean	desv1	desv2
chaco	land	functional	20	0.065062869	NA	NA
chaco	land	functional	25	0.06478602	NA	NA
chaco	land	functional	30	0.064952846	NA	NA
chaco	land	functional	35	0.066095901	NA	NA
chaco	land	functional	40	0.061640611	NA	NA
chaco	land	functional	45	0.056698912	NA	NA
chaco	land	functional	50	0.053345401	NA	NA
chaco	land	functional	55	0.046925186	NA	NA
chaco	land	functional	60	0.045187725	NA	NA
chaco	land	functional	65	0.04154003	NA	NA
chaco	land	functional	70	0.041545973	NA	NA
chaco	land	functional	75	0.029462189	NA	NA
chaco	land	functional	80	NA	NA	NA
chaco	climate	interaction	0	0.2343768	NA	NA
chaco	climate	interaction	5	0.229902347	NA	NA
chaco	climate	interaction	10	0.22935639	NA	NA
chaco	climate	interaction	15	0.233276669	NA	NA
chaco	climate	interaction	20	0.19546374	NA	NA
chaco	climate	interaction	25	0.169775331	NA	NA
chaco	climate	interaction	30	0.169103771	NA	NA
chaco	climate	interaction	35	0.162600792	NA	NA
chaco	climate	interaction	40	0.149689861	NA	NA
chaco	climate	interaction	45	0.133010743	NA	NA
chaco	climate	interaction	50	0.133356577	NA	NA
chaco	climate	interaction	55	0.130271742	NA	NA
chaco	climate	interaction	60	0.114391051	NA	NA
chaco	climate	interaction	65	0.060877562	NA	NA
chaco	climate	interaction	70	0.049313211	NA	NA
chaco	climate	interaction	75	0.004472042	NA	NA
chaco	land	interaction	0	0.1915868	NA	NA
chaco	land	interaction	5	0.191681	NA	NA
chaco	land	interaction	10	0.1837488	NA	NA
chaco	land	interaction	15	0.1714899	NA	NA
chaco	land	interaction	20	0.1780116	NA	NA
chaco	land	interaction	25	0.1772317	NA	NA
chaco	land	interaction	30	0.1704789	NA	NA
chaco	land	interaction	35	0.1682196	NA	NA
chaco	land	interaction	40	0.1674521	NA	NA
chaco	land	interaction	45	0.1657974	NA	NA
chaco	land	interaction	50	0.1665088	NA	NA
chaco	land	interaction	55	0.1405558	NA	NA
chaco	land	interaction	60	0.07839502	NA	NA
chaco	land	interaction	65	0.05150523	NA	NA
chaco	land	interaction	70	0.04958607	NA	NA
chaco	land	interaction	75	0.01384347	NA	NA
chaco	climate	phy	0	0.004736432	NA	NA
chaco	climate	phy	5	0.00475426	NA	NA
chaco	climate	phy	10	0.004844679	NA	NA
chaco	climate	phy	15	0.004744754	NA	NA
chaco	climate	phy	20	0.004924628	NA	NA
chaco	climate	phy	25	0.005167181	NA	NA
chaco	climate	phy	30	0.005119108	NA	NA
chaco	climate	phy	35	0.005208255	NA	NA
chaco	climate	phy	40	0.004832341	NA	NA
chaco	climate	phy	45	0.004978778	NA	NA
chaco	climate	phy	50	0.005267511	NA	NA
chaco	climate	phy	55	0.005672568	NA	NA
chaco	climate	phy	60	0.005958155	NA	NA
chaco	climate	phy	65	0.006653868	NA	NA
chaco	climate	phy	70	0.007469766	NA	NA
chaco	climate	phy	75	0.006822068	NA	NA
chaco	land	phy	0	0.004736432	NA	NA
chaco	land	phy	5	0.004818577	NA	NA
chaco	land	phy	10	0.004844679	NA	NA
chaco	land	phy	15	0.004977843	NA	NA
chaco	land	phy	20	0.005164088	NA	NA
chaco	land	phy	25	0.005574952	NA	NA
chaco	land	phy	30	0.005836399	NA	NA
chaco	land	phy	35	0.005798967	NA	NA
chaco	land	phy	40	0.005122357	NA	NA
chaco	land	phy	45	0.005224663	NA	NA
chaco	land	phy	50	0.005511369	NA	NA
chaco	land	phy	55	0.005672568	NA	NA
chaco	land	phy	60	0.006346195	NA	NA
chaco	land	phy	65	0.006653868	NA	NA
chaco	land	phy	70	0.006116506	NA	NA
chaco	land	phy	75	0.006822068	NA	NA
ma	climate	interaction	0	0.1999581	NA	NA
ma	climate	interaction	6	0.1972189	NA	NA
ma	climate	interaction	11	0.1814594	NA	NA
ma	climate	interaction	17	0.1894991	NA	NA
ma	climate	interaction	22	0.2059052	NA	NA
